"MLS #","Cat","Status","Address","Zip Code","County","Structure Type","Total Finished SQFT","Beds","Bathrooms Full","Bathrooms Half","On Market Date","Close Date","List Price","Close Price","DOM","CDOM","Sale Type","Close Sale Type","Buyer Financing","Lot Size Acres","Year Built","New Construction YN","Year Major Reno/Remodel","Property Condition","Subdivision/Neighborhood","Legal Subdivision"
"VAFB118692","RES","CLS","519 Landing Drive","22405","Fredericksburg City, VA","End of Row/Townhouse","1,700","3","2","2","","03/02/21","$329,710.00","$329,710","0","0","Standard","Standard Sale","VA","0.00","2021","Yes","","Excellent","RAPPAHANNOCK LANDING",""
"VAFB118688","RES","CLS","330 Brock Sq","22401","Fredericksburg City, VA","Interior Row/Townhouse","1,141","3","1","1","03/28/2021","04/05/21","$129,900.00","$117,000","8","8","Standard","Standard Sale","Cash","0.03","1977","No","","Good","BRAGG HILL TOWNHOUSES",""
"VAFB118676","RES","CLS","1304 Saunders Dr","22401","Fredericksburg City, VA","Interior Row/Townhouse","1,870","4","3","1","04/11/2021","05/13/21","$315,000.00","$325,000","6","6","Standard","Standard Sale","Conventional","0.03","2006","No","","","VILLAGE OF IDLEWILD","VILLAGE OF IDLEWILD"
"VAFB118678","RES","CLS","801 Mercer St","22401","Fredericksburg City, VA","Detached","2,172","3","3","","03/19/2021","04/08/21","$399,900.00","$350,000","8","8","Standard","Standard Sale","Cash","0.11","1929","No","","Average","DOWNTOWN FREDERICKSBURG",""
"VAFB118674","RES","CLS","1301 Graham Dr","22401","Fredericksburg City, VA","Detached","2,936","3","3","1","03/17/2021","04/30/21","$399,900.00","$405,000","7","7","Standard","Standard Sale","VA","0.10","2006","No","","","VILLAGE OF IDLEWILD","VILLAGE OF IDLEWILD"
"VAFB118652","RES","CLS","1438 Teagan Dr","22408","Fredericksburg City, VA","Interior Row/Townhouse","2,472","3","3","1","03/11/2021","04/12/21","$350,000.00","$346,500","0","0","Standard","Standard Sale","VA","0.05","2017","No","","Excellent","SUMMERFIELD",""
"VAFB118656","RES","CLS","1604 Wilcox Ave","22401","Fredericksburg City, VA","Interior Row/Townhouse","1,870","4","3","1","03/15/2021","04/16/21","$315,000.00","$325,000","4","4","Standard","Standard Sale","Conventional","0.04","2007","No","","Very Good","VILLAGE OF IDLEWILD","VILLAGE OF IDLEWILD"
"VAFB118658","RES","CLS","1802 College Ave","22401","Fredericksburg City, VA","Detached","2,008","3","2","","03/16/2021","04/15/21","$459,500.00","$459,500","6","6","Standard","Standard Sale","Conventional","0.16","1941","No","","","DOWNTOWN FREDERICKSBURG",""
"VAFB118642","RES","CLS","1015 Martingale Ct","22401","Fredericksburg City, VA","Detached","2,896","4","3","1","03/08/2021","04/08/21","$460,000.00","$450,000","1","1","Standard","Standard Sale","FHA","0.19","2006","No","","","MARTINGALE",""
"VAFB118650","RES","CLS","1013 Roberts Ct","22401","Fredericksburg City, VA","Detached","4,129","5","3","1","03/13/2021","04/10/21","$599,900.00","$589,900","4","19","Standard","Standard Sale","Conventional","0.64","1995","No","2020","Excellent","THE HILLS AT SNOWDEN",""
"VAFB118630","RES","CLS","515 Woodford St","22401","Fredericksburg City, VA","Detached","1,204","3","2","","03/28/2021","04/28/21","$300,000.00","$330,783","3","3","Standard","Standard Sale","Conventional","0.14","1957","No","","","NORMANDY VILLAGE",""
"VAFB118640","RES","CLS","421 Bunker Hill St","22401","Fredericksburg City, VA","Detached","1,693","3","2","1","06/12/2021","07/29/21","$415,000.00","$410,000","81","123","Standard","Standard Sale","Conventional","0.06","2017","No","","Very Good","DOWNTOWN FREDERICKSBURG",""
"VAFB118646","RES","CLS","2215 Fall Hill Ave","22401","Fredericksburg City, VA","Detached","1,620","4","2","1","04/13/2021","04/27/21","$375,000.00","$300,000","22","22","Standard","Standard Sale","Cash","0.19","1939","No","","","NONE AVAILABLE",""
"VAFB118644","RES","CLS","169 Longstreet Ave","22401","Fredericksburg City, VA","Detached","1,344","3","2","1","04/02/2021","04/09/21","$300,000.00","$330,000","4","4","Standard","Standard Sale","VA","0.18","1969","No","","","JACKSON PARK",""
"VAFB118634","RES","CLS","1002 Maureen Dr","22401","Fredericksburg City, VA","Interior Row/Townhouse","2,856","3","3","","03/29/2021","04/09/21","$385,000.00","$385,000","5","5","Standard","Standard Sale","Conventional","0.08","2006","No","","","VILLAS AT SNOWDEN","VILLAS AT SNOWDEN"
"VAFB118628","RES","CLS","1609 Airport Ave","22401","Fredericksburg City, VA","Detached","1,696","3","2","2","03/07/2021","03/12/21","$220,000.00","$210,000","5","5","Standard","Standard Sale","Cash","0.12","2005","No","","","AIRPORT","AIRPORT"
"VAFB118618","RES","CLS","5 Lafayette Sta","22401","Fredericksburg City, VA","Interior Row/Townhouse","840","2","1","1","03/09/2021","04/12/21","$259,900.00","$275,000","7","7","Standard","Standard Sale","Cash","0.02","1986","No","","Excellent","LAFAYETTE STATION","LAFAYETTE STATION"
"VAFB2000008","RES","CLS","1213 Rowe St","22401","Fredericksburg City, VA","Detached","1,000","4","2","0","03/10/2021","03/17/21","$329,900.00","$323,200","2","2","Standard","Standard Sale","Cash","0.00","1935","No","","Very Good","COLLEGE HEIGHTS",""
"VAFB118614","RES","CLS","1206 Century Oak Dr","22401","Fredericksburg City, VA","Detached","2,987","6","2","1","03/01/2021","04/05/21","$450,000.00","$450,000","0","0","Standard","Standard Sale","Conventional","0.34","2002","No","","Excellent, Very Good","GREAT OAKS","GREAT OAKS"
"VAFB2000006","RES","CLS","2140 Idlewild Blvd","22401","Fredericksburg City, VA","Detached","3,748","4","3","1","03/09/2021","04/19/21","$520,000.00","$535,000","5","5","Standard","Standard Sale","Other","0.23","2009","No","","Very Good","VILLAGE OF IDLEWILD","VILLAGE OF IDLEWILD"
"VAFB118612","RES","CLS","1420 Buckner St","22401","Fredericksburg City, VA","Detached","1,873","4","3","","03/25/2021","04/09/21","$524,999.00","$480,000","12","28","Standard","Standard Sale","Cash","0.15","1955","No","","Average","COLLEGE HEIGHTS",""
"VAFB2000004","RES","CLS","1000 Jamis Pl","22401","Fredericksburg City, VA","Detached","3,463","4","3","","02/28/2021","04/02/21","$585,000.00","$590,000","3","3","Standard","Standard Sale","Conventional","0.40","2012","No","","","PRESERVE AT SMITH RUN","PRESERVE AT SMITH RUN"
"VAFB118598","RES","CLS","1614 Caroline St","22401","Fredericksburg City, VA","Detached","1,187","2","1","","03/01/2021","03/17/21","$275,000.00","$275,000","6","7","Standard","Standard Sale","Cash","0.09","1900","No","","","DOWNTOWN FREDERICKSBURG",""
"VAFB118596","RES","CLS","514 Sophia St #5 BERKELEY","22401","Fredericksburg City, VA","Interior Row/Townhouse","2,283","3","2","2","04/23/2021","10/21/21","$757,807.50","$757,808","61","61","Standard","Standard Sale","Conventional","0.00","2020","Yes","","Excellent","RIVERPLACE",""
"VAFB118586","RES","CLS","1822 Charles St","22401","Fredericksburg City, VA","Detached","1,425","3","1","","02/26/2021","04/06/21","$325,000.00","$331,500","4","4","Standard","Standard Sale","Conventional","0.14","1939","No","","Average","CITY OF FREDERICKSBURG",""
