"MLS #","Cat","Status","Address","Zip Code","County","Structure Type","Total Finished SQFT","Beds","Bathrooms Full","Bathrooms Half","On Market Date","Close Date","List Price","Close Price","DOM","CDOM","Sale Type","Close Sale Type","Buyer Financing","Lot Size Acres","Year Built","New Construction YN","Year Major Reno/Remodel","Property Condition","Subdivision/Neighborhood","Legal Subdivision"
"VACV2003394","RES","CLS","4 Posterity Cv","22546","Caroline, VA","Detached","1,184","3","2","","03/27/2023","04/12/23","$259,900.00","$263,000","21","21","Standard","Standard Sale","USDA","0.33","1990","No","","","LAKE CAROLINE","LAKE CAROLINE"
"VACV2003382","RES","CLS","18286 Signature Way","22546","Caroline, VA","Detached","1,759","3","2","","","11/08/22","$378,980.00","$378,980","0","0","Standard","Standard Sale","Conventional","0.00","2022","Yes","","Excellent","PENDLETON GOLF CLUB",""
"VACV2003380","RES","CLS","23535 Asheville Rd","22514","Caroline, VA","Detached","1,971","4","2","1","03/01/2023","04/11/23","$349,900.00","$349,900","47","47","Standard","Standard Sale","FHA","3.41","1991","No","2023","","SHUMANSVILLE",""
"VACV2003376","RES","CLS","142 Lake Caroline Dr","22546","Caroline, VA","Detached","1,484","3","2","0","01/17/2023","01/31/23","$525,000.00","$592,777","4","4","Standard","Standard Sale","Conventional","0.76","1996","No","","","LAKE CAROLINE","LAKE CAROLINE"
"VACV2003366","RES","CLS","17061 Brookwood Drive","22427","Caroline, VA","Detached","1,847","3","2","1","02/14/2023","03/31/23","$364,900.00","$364,900","37","37","Standard","Standard Sale","Conventional","0.16","2022","Yes","","Excellent","BROOKWOOD",""
"VACV2003364","RES","CLS","17075 Rollins Road","22427","Caroline, VA","Detached","1,535","3","2","0","02/20/2023","03/23/23","$339,900.00","$339,900","40","40","Standard","Standard Sale","FHA","0.17","2022","Yes","","Excellent","BROOKWOOD",""
"VACV2003358","RES","CLS","17312 Camellia Dr","22546","Caroline, VA","Detached","2,344","3","4","0","02/23/2023","03/28/23","$397,000.00","$385,000","46","46","Standard","Standard Sale","FHA","0.10","2005","No","2021","Excellent","LADYSMITH VILLAGE","LADYSMITH VILLAGE"
"VACV2003350","RES","CLS","20045 Courtney Rd","23069","Caroline, VA","Detached","1,224","3","2","","01/09/2023","02/08/23","$264,900.00","$270,000","4","36","Standard","Standard Sale","Conventional","1.00","1976","No","","","NONE AVAILABLE",""
"VACV2003348","RES","CLS","128 Needwood Dr","22546","Caroline, VA","Detached","912","2","1","","03/20/2023","04/18/23","$213,000.00","$217,500","74","133","Standard","Standard Sale","USDA","0.93","1980","No","2022","Very Good","LAKE LAND OR","LAKE LAND"
"VACV2003342","RES","CLS","401 Woodlyn Dr","22546","Caroline, VA","Detached","2,050","4","2","1","02/24/2023","02/28/23","$412,000.00","$415,000","9","9","Standard","Standard Sale","Conventional","0.00","2023","Yes","","Excellent","LAKE CAROLINE","LAKE CAROLINE"
"VACV2003344","RES","CLS","127 Sunset Dr","22427","Caroline, VA","Detached","1,950","3","2","","01/06/2023","02/14/23","$215,000.00","$215,000","1","1","Standard","Standard Sale","Cash","1.04","1955","No","","","NONE AVAILABLE",""
"VACV2003320","RES","CLS","17235 Blatt Ave","22514","Caroline, VA","Detached","1,940","3","1","1","01/10/2023","02/23/23","$249,900.00","$257,500","4","4","Standard","Standard Sale","FHA","0.67","1940","No","","Good","BLATT",""
"VACV2003328","RES","CLS","251 Devon Drive","22546","Caroline, VA","Detached","1,600","4","2","1","02/21/2023","02/28/23","$345,000.00","$350,000","23","23","Standard","Standard Sale","FHA","0.70","2022","Yes","","Excellent","LAKE LAND OR",""
"VACV2003154","RES","CLS","264 Cedar Ridge Dr","22546","Caroline, VA","Detached","1,110","4","3","0","02/01/2023","02/10/23","$319,000.00","$315,000","11","11","Standard","Standard Sale","FHA","0.00","2005","No","","","LAKE LAND","LAKE LAND"
"VACV2003268","RES","CLS","635 Clover Hill Dr","22546","Caroline, VA","Detached","2,376","4","3","0","01/16/2023","02/17/23","$349,900.00","$350,000","14","14","Standard","Standard Sale","FHA","0.45","2004","No","2017","Very Good","LAKE LAND OR","LAKE LAND"
"VACV2003290","RES","CLS","17207 Begonia Dr","22546","Caroline, VA","Detached","2,458","3","3","","01/11/2023","02/06/23","$389,900.00","$384,900","13","13","Standard","Standard Sale","VA","0.12","2005","No","","Very Good","LADYSMITH VILLAGE","LADYSMITH VILLAGE"
"VACV2003286","RES","CLS","93 Land Or Dr","22546","Caroline, VA","Detached","2,496","4","3","0","01/31/2023","03/15/23","$385,000.00","$385,000","11","11","Standard","Standard Sale","VA","0.00","2002","No","","Very Good","LAKE LAND","LAKE LAND"
"VACV2003302","RES","CLS","14537 Countyline Church Rd","22580","Caroline, VA","Other","1,448","5","1","1","01/24/2023","03/17/23","$259,000.00","$259,000","27","27","Standard","Standard Sale","FHA","1.00","1975","No","2022","Good","BLANTONS",""
"VACV2003292","RES","CLS","16332 Richmond Tpke","22427","Caroline, VA","Detached","3,472","3","3","","12/18/2023","01/31/24","$329,900.00","$320,000","162","299","Standard","Standard Sale","Conventional","0.91","1960","No","","Good","NONE AVAILABLE",""
"VACV2003272","RES","CLS","7102 State Way","22546","Caroline, VA","Detached","2,390","4","3","","03/17/2023","06/14/23","$468,457.00","$468,457","85","85","Standard","Standard Sale","VA","0.15","2023","Yes","","Excellent","PENDLETON",""
"VACV2003270","RES","CLS","7114 State Way","22546","Caroline, VA","Detached","3,275","4","2","1","01/30/2023","05/25/23","$540,141.00","$540,141","39","39","Standard","Standard Sale","Conventional","0.16","2023","Yes","","Excellent","PENDLETON",""
"VACV2003254","RES","CLS","21845 Penola Rd","22546","Caroline, VA","Detached","2,660","4","2","1","01/05/2023","02/10/23","$525,000.00","$500,000","7","7","Standard, Third Party Approval","Standard Sale","Conventional","9.91","2001","No","","","NONE AVAILABLE",""
"VACV2003266","RES","CLS","18362 Democracy Ave","22546","Caroline, VA","Interior Row/Townhouse","2,024","3","2","2","01/08/2023","01/27/23","$280,000.00","$276,000","18","18","Standard","Standard Sale","Cash","0.04","2008","No","","","PENDLETON","PENDLETON"
"VACV2003230","RES","CLS","430 Dorset Dr","22546","Caroline, VA","Detached","1,008","3","2","","04/19/2023","05/19/23","$240,000.00","$250,150","113","113","Standard","Standard Sale","FHA","0.00","1990","No","","Average","LAKE LAND OR","LAKE LAND"
"VACV2003250","RES","CLS","14059 Stonewall Jackson Rd","22580","Caroline, VA","Detached","2,016","4","2","","06/09/2023","07/21/23","$349,000.00","$310,000","129","129","Standard","Standard Sale","Cash","16.94","1926","No","","Below Average","NONE AVAILABLE",""
"VACV2003264","RES","CLS","16024 Grant Ct","22427","Caroline, VA","Detached","3,052","5","3","","03/01/2023","03/29/23","$459,490.00","$455,000","72","316","Standard","Standard Sale","Conventional","0.53","2023","Yes","","Excellent","MAURY HEIGHTS","MAURY HEIGHTS"
"VACV2003256","RES","CLS","517 Smith Dr","22546","Caroline, VA","Detached","1,073","3","2","","06/01/2023","06/29/23","$314,999.00","$307,500","146","146","Standard","Standard Sale","USDA","0.25","2007","No","","","LAKE CAROLINE","LAKE CAROLINE"
"VACV2003252","RES","CLS","21475 Frog Level Rd","22546","Caroline, VA","Detached","1,484","3","2","","01/28/2023","02/24/23","$274,500.00","$273,000","38","38","Standard","Standard Sale","USDA","1.22","1970","No","","","NONE AVAILABLE",""
"VACV2003248","RES","CLS","16223 Melville Ln","22427","Caroline, VA","Detached","1,374","3","1","1","05/08/2023","05/31/23","$190,000.00","$140,000","125","125","Standard","Standard Sale","Cash","3.25","1941","No","","","HOLLY HILL",""
"VACV2003246","RES","CLS","20 Cresthill Ct","22546","Caroline, VA","Detached","1,542","3","2","1","02/28/2023","03/03/23","$329,900.00","$329,000","47","122","Standard","Standard Sale","VA","0.00","2022","Yes","","Excellent","LAKE LAND OR","LAKE LAND"
"VACV2003242","RES","CLS","618 Clover Hill Dr","22546","Caroline, VA","Detached","1,084","3","2","","01/18/2023","03/03/23","$295,000.00","$290,000","16","16","Bankruptcy, Standard","Standard Sale","Conventional","0.00","2005","No","","Below Average","LAKE LAND OR","LAKE LAND"
"VACV2003214","RES","CLS","17214 Oak Ridge Ln","22546","Caroline, VA","Detached","2,016","4","3","","01/31/2023","03/16/23","$339,900.00","$339,900","28","28","Standard","Standard Sale","FHA","1.04","2005","No","","","NONE AVAILABLE",""
"VACV2003240","RES","CLS","7108 State Way","22546","Caroline, VA","Detached","2,180","3","2","1","01/30/2023","04/19/23","$439,082.00","$440,729","48","48","Standard","Standard Sale","Cash","0.15","2023","Yes","","Excellent","PENDLETON",""
"VACV2003234","RES","CLS","7103 State Way","22546","Caroline, VA","Detached","1,790","3","2","","03/20/2023","06/09/23","$454,877.00","$444,393","97","97","Standard","Standard Sale","Conventional","0.15","2023","Yes","","Excellent","PENDLETON",""
"VACV2003224","RES","CLS","809 Laverne Dr","22546","Caroline, VA","Detached","1,923","4","3","","01/05/2023","02/06/23","$339,900.00","$307,900","25","25","Standard","Standard Sale","Cash","0.48","2006","No","","","LAKE LAND OR","LAKE LAND"
"VACV2003208","RES","CLS","118 Davis Ct","22427","Caroline, VA","Detached","1,347","3","2","0","01/12/2023","02/13/23","$289,900.00","$287,000","31","31","Standard","Standard Sale","Conventional","0.00","1948","No","2022","Excellent","DAVIS COURT","DAVIS COURT"
"VACV2003206","RES","CLS","7168 Jericho Rd","22546","Caroline, VA","Detached","816","3","1","","12/15/2022","01/27/23","$235,000.00","$242,000","10","10","Standard","Standard Sale","VA","0.50","1964","No","2022","","NONE AVAILABLE",""
"VACV2003204","RES","CLS","16 Lincoln Cv","22546","Caroline, VA","Detached","1,772","3","2","1","02/06/2023","03/22/23","$342,500.00","$350,500","63","162","Standard","Standard Sale","VA","0.00","0","Yes","","Excellent","LAKE CAROLINE","LAKE CAROLINE"
"VACV2003190","RES","CLS","205 Marday Dr","22546","Caroline, VA","Detached","2,336","3","3","","12/08/2022","02/28/23","$330,000.00","$330,000","7","7","Standard","Standard Sale","FHA","0.00","2004","No","","Very Good","LAKE LAND OR","LAKE LAND"
"VACV2003188","RES","CLS","26104 Townfield Dr","22535","Caroline, VA","Detached","1,092","3","2","0","12/18/2022","01/19/23","$215,000.00","$210,000","18","18","Standard","Standard Sale","Conventional","0.00","1955","No","","","TOWNFIELD",""
"VACV2003182","RES","CLS","18281 Signature Way","22546","Caroline, VA","Detached","1,365","3","2","0","","10/03/22","$377,570.00","$377,570","0","0","Standard","Standard Sale","Conventional","0.00","","Yes","","Excellent","PENDLETON",""
"VACV2003172","RES","CLS","13246 Ladysmith Rd","22546","Caroline, VA","Detached","1,165","3","2","","01/18/2023","02/14/23","$314,900.00","$300,000","50","139","Standard","Standard Sale","Conventional","0.57","2022","Yes","","Excellent","SUNNYSIDE",""
"VACV2003180","RES","CLS","12090 Jeffrey Rd","22546","Caroline, VA","Detached","1,146","3","2","0","12/04/2022","12/28/22","$269,999.00","$260,000","5","14","Standard","Standard Sale","Conventional","0.78","2022","Yes","","Excellent","CAROLINE PINES","CAROLINE PINES"
"VACV2003162","RES","CLS","23277 Triple Crown Dr","22546","Caroline, VA","Detached","3,606","4","3","1","01/16/2023","01/31/23","$365,000.00","$373,000","18","18","Standard","Standard Sale","USDA","0.19","2005","No","2020","","BELMONT AT CARMEL CHURCH",""
"VACV2003164","RES","CLS","12240 Birkdale Rd","22546","Caroline, VA","Detached","984","3","2","","03/03/2023","04/13/23","$249,900.00","$249,900","23","23","Standard","Standard Sale","Conventional","0.00","1989","No","2023","Very Good","CAROLINE PINES","CAROLINE PINES"
"VACV2003160","RES","CLS","232 Stafford Dr","22546","Caroline, VA","Detached","1,842","3","2","","01/26/2023","02/17/23","$325,000.00","$300,000","42","42","Standard","Standard Sale","Conventional","0.00","2006","No","","","LAKE LAND OR","LAKE LAND"
"VACV2003152","RES","CLS","11001 Claiborne X-Ing Rd","22408","Caroline, VA","Detached","640","2","1","","12/31/2022","01/20/23","$229,900.00","$232,000","36","127","Standard","Standard Sale","FHA","2.98","1973","No","2022","Excellent","NONE AVAILABLE",""
