"MLS #","Cat","Status","Address","Zip Code","County","Structure Type","Total Finished SQFT","Beds","Bathrooms Full","Bathrooms Half","On Market Date","Close Date","List Price","Close Price","DOM","CDOM","Sale Type","Close Sale Type","Buyer Financing","Lot Size Acres","Year Built","New Construction YN","Year Major Reno/Remodel","Property Condition","Subdivision/Neighborhood","Legal Subdivision"
"VAST220958","RES","CLS","957 Poplar Rd","22556","Stafford, VA","Detached","1,368","2","1","","05/04/2020","05/18/20","$195,000.00","$195,000","19","19","Standard","Standard Sale","Cash","3.00","1920","No","","Below Average","SUKMARK ACRES",""
"VAST220864","RES","CLS","3 Fountain Dr","22554","Stafford, VA","Detached","3,505","5","4","","07/23/2020","08/14/20","$499,900.00","$499,900","83","83","Standard","Standard Sale","VA","0.24","2009","No","","","SEASONS LANDING","SEASONS LANDING"
"VAST220960","RES","CLS","11 Oak Crest Ct","22405","Stafford, VA","Detached","4,296","5","3","1","04/29/2020","05/29/20","$419,900.00","$400,000","13","13","Standard","Standard Sale","Conventional","0.78","2000","No","","","NORTH CLEARVIEW HEIGHTS","NORTH CLEARVIEW HEIGHTS"
"VAST220930","RES","CLS","260 Vine Pl","22554","Stafford, VA","Detached","1,804","4","2","1","05/08/2020","06/08/20","$350,000.00","$350,000","24","24","Standard","Standard Sale","Conventional","0.23","1989","No","","","HAMPTON OAKS","SHADOW WOODS"
"VAST220956","RES","CLS","1430 Aquia Dr","22554","Stafford, VA","Detached","2,437","5","3","1","05/25/2020","06/25/20","$474,000.00","$474,000","27","51","Standard","Standard Sale","VA","0.53","1979","No","2020","Very Good, Good","AQUIA HARBOUR","AQUIA HARBOUR"
"VAST220860","RES","CLS","8 Edwin Ct","22405","Stafford, VA","Detached","3,028","5","3","1","05/20/2020","05/28/20","$425,000.00","$425,000","2","2","Standard","Standard Sale","VA","0.24","2006","No","","Very Good","LEELAND STATION","LEELAND STATION"
"VAST220950","RES","CLS","23 Clark Ln","22554","Stafford, VA","Detached","2,924","4","3","1","05/29/2020","05/29/20","$400,000.00","$400,000","4","8","Standard","Standard Sale","Conventional","0.28","1992","No","","","STONEBRIDGE AT WIDEWATER","STONEBRIDGE AT WIDEWATER"
"VAST220946","RES","CLS","14 Crimson Way","22406","Stafford, VA","Detached","3,081","4","3","1","05/03/2020","06/02/20","$374,900.00","$374,900","4","4","Standard","Standard Sale","Conventional","0.32","2001","No","","","ENGLAND RUN NORTH","ENGLAND RUN NORTH"
"VAST220948","RES","CLS","39 Charter Gate Dr","22406","Stafford, VA","Detached","2,896","4","3","1","04/19/2020","05/26/20","$375,000.00","$375,000","5","5","Standard","Standard Sale","VA","0.23","2012","No","","","STAFFORD LAKES VILLAGE","STAFFORD LAKES VILLAGE"
"VAST220754","RES","CLS","33 Wellspring Dr","22405","Stafford, VA","Twin/Semi-Detached","2,471","3","2","1","07/04/2020","07/10/20","$333,900.00","$333,900","39","39","Standard","Standard Sale","FHA","0.00","2018","No","","","WELLSPRING HILLS",""
"VAST220904","RES","CLS","10 Adrian Way","22405","Stafford, VA","Detached","4,872","5","3","1","05/02/2020","06/05/20","$569,000.00","$565,000","3","3","Standard","Standard Sale","Conventional","1.11","2005","No","","Very Good","ESTATES AT DEACON HILL","DEACON ROAD ESTATES"
"VAST220862","RES","CLS","125 Gardenia Dr","22554","Stafford, VA","Detached","2,633","3","3","1","04/20/2020","05/28/20","$455,000.00","$461,750","6","6","Standard","Standard Sale","VA","0.14","2016","No","","Very Good","EMBREY MILL","EMBREY MILL"
"VAST220746","RES","CLS","222 Courthouse Manor Dr","22554","Stafford, VA","Detached","4,033","6","4","","06/19/2020","06/11/20","$530,915.00","$530,915","64","64","Standard","Standard Sale","Other","0.20","2020","Yes","","","COURTHOUSE MANOR",""
"VAST220774","RES","CLS","212 Fathom Cv","22554","Stafford, VA","Detached","2,240","4","2","1","04/17/2020","05/27/20","$359,900.00","$365,000","3","3","Standard","Standard Sale","FHA","0.50","1982","No","","Very Good, Good","AQUIA HARBOUR","AQUIA HARBOUR"
"VAST220876","RES","CLS","21 Varone Dr","22554","Stafford, VA","Detached","2,487","4","2","1","05/18/2020","07/01/20","$369,900.00","$369,900","21","21","Standard","Standard Sale","Conventional","0.13","1996","No","","Very Good","PARK RIDGE","PARK RIDGE"
"VAST220902","RES","CLS","1 Catbird Ct","22556","Stafford, VA","Detached","5,016","5","4","1","06/03/2020","06/30/20","$639,900.00","$639,900","14","14","Standard","Standard Sale","VA","3.00","1995","No","","","SEVEN LAKES","SEVEN LAKES"
"VAST220912","RES","CLS","821 Walnut Dr","22405","Stafford, VA","Detached","1,346","3","2","1","04/20/2020","06/01/20","$284,900.00","$290,750","4","4","Standard","Standard Sale","Conventional","1.22","1978","No","","Very Good","CLAIBORNE",""
"VAST220908","RES","CLS","204 Freesia Ln","22554","Stafford, VA","Interior Row/Townhouse","2,288","3","2","1","05/14/2020","06/29/20","$395,000.00","$395,000","30","30","Standard","Standard Sale","VA","0.05","2015","No","","Very Good","EMBREY MILL","EMBREY MILL"
"VAST220906","RES","CLS","1006 Kings Crest Dr","22554","Stafford, VA","Interior Row/Townhouse","1,830","3","3","1","07/31/2020","07/31/20","$274,900.00","$265,000","8","8","Standard","Standard Sale","Conventional","0.04","1996","No","","Excellent","POTOMAC HILLS","POTOMAC HILLS"
"VAST220900","RES","CLS","1072 Aspen Rd","22554","Stafford, VA","Detached","2,713","5","3","1","06/05/2020","07/21/20","$482,900.00","$482,900","31","31","Standard","Standard Sale","Conventional","0.12","2020","Yes","","","EMBREY MILL","EMBREY MILL"
"VAST220888","RES","CLS","77 Gladstone Dr","22406","Stafford, VA","Detached","2,814","3","3","","05/21/2020","05/26/20","$399,500.00","$370,000","2","2","Standard","Standard Sale","Conventional","0.20","2003","No","","Very Good","FALLS RUN",""
"VAST220866","RES","CLS","4 Wall St","22405","Stafford, VA","Detached","3,273","4","2","1","05/19/2020","05/22/20","$380,000.00","$380,000","3","3","Standard","Standard Sale","VA","1.15","1974","No","","Very Good","INGLESIDE","BELMONT HILLS/INGLESIDE"
"VAST220844","RES","CLS","12 Bedrock Way","22554","Stafford, VA","End of Row/Townhouse","2,337","3","2","2","04/22/2020","05/22/20","$385,000.00","$380,000","9","9","Standard","Standard Sale","Conventional","0.07","2015","No","","Very Good","COLONIAL FORGE",""
"VAST220886","RES","CLS","80 Boxwood Dr","22406","Stafford, VA","Detached","5,027","5","4","1","05/19/2020","06/11/20","$524,999.00","$540,000","2","2","Standard","Standard Sale","VA","3.23","2015","No","","Very Good","STAFFORD ESTATES","STAFFORD ESTATES"
"VAST220416","RES","CLS","127 Streamview Dr","22405","Stafford, VA","Interior Row/Townhouse","1,892","3","3","1","06/22/2020","06/30/20","$264,000.00","$264,000","30","30","Standard","Standard Sale","FHA","0.03","2016","No","","Very Good","RAPPAHANNOCK LANDING",""
"VAST217850","RES","CLS","405 Westminster Ln","22556","Stafford, VA","Interior Row/Townhouse","1,542","3","2","1","04/27/2020","05/28/20","$223,000.00","$223,000","15","15","Standard","Standard Sale","VA","","1990","No","","","SUNNINGDALE MEADOWS","SUNNINGDALE MEADOWS"
"VAST220878","RES","CLS","54 Bloomington Ln","22554","Stafford, VA","Detached","2,716","4","2","2","04/30/2020","06/01/20","$405,500.00","$405,500","4","4","Standard","Standard Sale","VA","1.05","2001","No","","","STONEBRIDGE AT WIDEWATER","STONEBRIDGE AT WIDEWATER"
"VAST220748","RES","CLS","10 Cardinal Dr","22406","Stafford, VA","Detached","1,700","3","2","","06/02/2020","06/05/20","$349,900.00","$338,000","23","47","Standard","Standard Sale","Conventional","4.53","1977","No","","","CRESTWOOD",""
"VAST220830","RES","CLS","10 Minniear Ct","22406","Stafford, VA","Detached","3,446","4","3","1","04/19/2020","05/14/20","$385,000.00","$390,000","5","5","Standard","Standard Sale","VA","0.18","2006","No","","","ENGLAND RUN NORTH","ENGLAND RUN NORTH"
"VAST220820","RES","CLS","8 Ridge Pointe Ln","22405","Stafford, VA","Detached","2,043","3","2","","07/31/2020","08/21/20","$365,000.00","$365,000","112","112","Standard","Standard Sale","FHA","0.50","1991","No","","Very Good","RIDGE POINTE","RIDGE POINTE"
"VAST220708","RES","CLS","13 Kingsley Ct","22554","Stafford, VA","Detached","3,805","4","3","1","06/09/2020","07/01/20","$612,000.00","$593,000","9","9","Standard","Standard Sale","VA","0.40","1999","No","","Very Good","AUGUSTINE NORTH","AUGUSTINE NORTH"
"VAST220806","RES","CLS","8 Ridgeway Rd","22556","Stafford, VA","Detached","1,453","4","2","1","05/05/2020","05/28/20","$365,000.00","$365,000","2","2","Standard","Standard Sale","Conventional","1.28","2001","No","","Very Good","ROLLING HILLS","ROLLING HILLS"
"VAST220816","RES","CLS","658 Village Pkwy","22406","Stafford, VA","Detached","3,028","5","2","1","06/04/2020","06/03/20","$380,000.00","$380,000","29","29","Standard","Standard Sale","Conventional","0.25","2007","No","","","STAFFORD LAKES VILLAGE","STAFFORD LAKES VILLAGE"
