"MLS #","Cat","Status","Address","Zip Code","County","Structure Type","Total Finished SQFT","Beds","Bathrooms Full","Bathrooms Half","On Market Date","Close Date","List Price","Close Price","DOM","CDOM","Sale Type","Close Sale Type","Buyer Financing","Lot Size Acres","Year Built","New Construction YN","Year Major Reno/Remodel","Property Condition","Subdivision/Neighborhood","Legal Subdivision"
"VASP219380","RES","CLS","11317 Macon Dr","22407","Spotsylvania, VA","End of Row/Townhouse","1,857","2","2","","03/17/2020","03/20/20","$269,000.00","$268,000","3","3","Standard","Standard Sale","Assume - Qualify","0.11","2004","No","","","SALEM FIELDS","SALEM FIELDS"
"VASP219364","RES","CLS","3902 Fountain Bridge Ct","22408","Spotsylvania, VA","Interior Row/Townhouse","1,384","3","2","1","03/20/2020","04/03/20","$259,900.00","$253,000","25","25","Standard","Standard Sale","FHA","0.05","1997","No","","Very Good","GLENEAGLES AT LEE'S HILL","GLENEAGLES AT LEES HILL"
"VASP219346","RES","CLS","7223 Runnymede Trl","22407","Spotsylvania, VA","Detached","1,333","3","2","","03/07/2020","03/12/20","$259,900.00","$259,900","8","8","Standard","Standard Sale","VA","0.00","1991","No","","Very Good","ENCHANTED WOODS","ENCHANTED WOODS"
"VASP219358","RES","CLS","11604 Hampshire Ct","22407","Spotsylvania, VA","Twin/Semi-Detached","1,949","3","3","","02/14/2020","03/02/20","$255,000.00","$255,000","5","5","Standard","Standard Sale","FHA","0.12","1997","No","","","SUMMERLAKE","SUMMERLAKE AT SALEM STAT"
"VASP219344","RES","CLS","2338 Red Earth Ln","23015","Spotsylvania, VA","Detached","2,208","3","2","","04/29/2020","05/29/20","$250,000.00","$242,000","71","218","Standard","Standard Sale","VA","4.57","1970","No","","","NONE AVAILABLE","-"
"VASP219338","RES","CLS","10809 Heathermore Pl","22553","Spotsylvania, VA","Detached","3,257","6","3","1","03/07/2020","03/20/20","$398,500.00","$400,000","5","5","Standard","Standard Sale","VA","1.00","1994","No","","Very Good","FOX CHASE","FOX CHASE"
"VASP219328","RES","CLS","11818 Taft Dr","22407","Spotsylvania, VA","Detached","1,714","3","3","","03/07/2020","04/30/20","$250,000.00","$259,500","3","3","Standard","Standard Sale","Conventional","0.00","0","No","","Very Good","SHERATON HILLS EAST","SHERATON HILLS EAST"
"VASP219294","RES","CLS","3321 Summit Crossing Rd","22408","Spotsylvania, VA","Detached","1,232","3","1","","04/24/2020","04/27/20","$199,900.00","$199,900","20","20","Standard","Standard Sale","FHA","0.46","1957","No","2020","Very Good","NONE AVAILABLE","-"
"VASP219164","RES","CLS","808 Dinwiddie Dr","22407","Spotsylvania, VA","Detached","1,600","4","2","0","04/03/2020","04/06/20","$284,750.00","$284,750","18","18","Standard","Standard Sale","FHA, VHDA","0.26","1978","No","2019","Very Good","MAPLE GROVE","MAPLE GROVE"
"VASP219354","RES","CLS","11900 Hunting Ridge Dr","22407","Spotsylvania, VA","Detached","960","3","1","","03/07/2020","03/06/20","$180,000.00","$170,000","9","9","Standard","Standard Sale","Cash","0.28","1998","No","","Below Average","FALCON RIDGE","FALCON RIDGE"
"VASP219198","RES","CLS","4125 Derbyshire Ln","22408","Spotsylvania, VA","Detached","4,176","6","3","","04/23/2020","05/08/20","$405,000.00","$400,000","46","46","Standard","Standard Sale","Conventional","0.23","2004","No","","Very Good","COVENTRY MEADOWS","COVENTRY CREEK"
"VASP219272","RES","CLS","6706 Merridith Ln","22407","Spotsylvania, VA","Detached","1,232","3","2","","03/07/2020","03/19/20","$270,000.00","$270,000","4","4","Standard","Standard Sale","VHDA","0.39","2003","No","","","CAMELOT","CAMELOT"
"VASP218758","RES","CLS","10500 Dover Ct","22553","Spotsylvania, VA","Detached","4,533","5","4","","03/07/2020","03/31/20","$450,000.00","$450,000","4","4","Standard","Standard Sale","Conventional","0.51","1989","No","","Very Good","EDINBURGH","EDINBURGH"
"VASP219332","RES","CLS","2252 Partlow Rd","23015","Spotsylvania, VA","Detached","5,177","6","5","","08/03/2020","08/14/20","$545,000.00","$540,000","159","159","Standard","Standard Sale","VA","12.00","2015","No","","Very Good","NONE AVAILABLE","-"
"VASP219336","RES","CLS","5207 Calvert Ct","22407","Spotsylvania, VA","Detached","1,566","3","2","1","03/09/2020","03/31/20","$305,000.00","$305,000","4","4","Standard","Standard Sale","VA","0.33","1993","No","2018","Very Good","LEAVELLS CROSSING","LEAVELLS CROSSING"
"VASP219170","RES","CLS","10902 Chatham Ridge Way","22551","Spotsylvania, VA","Detached","3,685","4","4","1","07/27/2020","08/13/20","$575,000.00","$570,000","160","160","Standard","Standard Sale","FHA","0.51","2012","No","","Very Good","FAWN LAKE","FAWN LAKE"
"VASP219330","RES","CLS","11207 Knolls End","22551","Spotsylvania, VA","Detached","7,729","5","5","2","05/27/2020","07/01/20","$849,000.00","$830,000","52","52","Standard","Standard Sale","VA","0.60","2009","No","","Very Good","FAWN LAKE","FAWN LAKE"
"VASP219146","RES","CLS","6227 Sweetbriar Dr","22407","Spotsylvania, VA","Detached","2,916","5","3","1","03/20/2020","03/23/20","$365,001.00","$372,500","8","8","Standard","Standard Sale","Conventional","0.26","1990","No","","","FOX POINT","FOX POINT"
"VASP219228","RES","CLS","4800 Integrity Ct","22408","Spotsylvania, VA","Detached","2,773","4","3","1","02/11/2020","03/11/20","$355,000.00","$360,000","5","5","Standard","Standard Sale","VA","0.43","1999","No","","Very Good","KINGSWOOD","KINGSWOOD"
"VASP219326","RES","CLS","2701 Glendas Way","22408","Spotsylvania, VA","Detached","3,123","5","4","","03/07/2020","03/24/20","$424,900.00","$424,900","6","30","Standard","Standard Sale","VA","0.64","2004","No","","","RIVER CLUB ESTATES","RIVER CLUB"
"VASP219252","RES","CLS","10112 Palmer Ct","22553","Spotsylvania, VA","Detached","4,295","4","3","1","03/07/2020","04/03/20","$495,000.00","$490,000","8","8","Standard","Standard Sale","VA","0.70","1996","No","","Good","SAWHILL","SAWHILL"
"VASP219110","RES","CLS","119 Broadfield Ln","22553","Spotsylvania, VA","Detached","1,880","4","3","","03/13/2020","03/31/20","$329,450.00","$310,000","3","3","Standard","Standard Sale","VA","0.92","1985","No","","","WOODFIELD","WOODFIELD"
"VASP218790","RES","CLS","5817 Glen Eagles Dr","22407","Spotsylvania, VA","Detached","2,900","4","3","1","03/07/2020","03/31/20","$339,900.00","$339,900","6","6","Standard","Standard Sale","Conventional","0.31","2002","No","","Very Good","MAPLE GROVE","MAPLE GROVE"
"VASP219312","RES","CLS","12305 Quarter Charge Dr","22551","Spotsylvania, VA","Detached","1,958","2","3","","05/13/2020","05/19/20","$214,900.00","$216,000","42","42","REO (Real Estate Owned)","REO (Real Estate Owned)","FHA 203(k)","0.59","1991","No","","","LAKE WILDERNESS","LAKE WILDERNESS"
"VASP219304","RES","CLS","11808 Wilderness Park Dr","22551","Spotsylvania, VA","Detached","1,783","3","2","1","03/19/2020","04/07/20","$189,900.00","$190,000","15","15","REO (Real Estate Owned)","REO (Real Estate Owned)","FHA","0.00","1991","No","","","LAKE WILDERNESS","LAKE WILDERNESS"
"VASP218726","RES","CLS","11428 Osprey Trl","22551","Spotsylvania, VA","Detached","4,127","3","3","","03/07/2020","04/30/20","$509,500.00","$500,000","8","8","Standard","Standard Sale","Cash","0.34","2016","No","","Very Good, Good","FAWN LAKE","FAWN LAKE"
"VASP219300","RES","CLS","11819 Rutherford Dr","22407","Spotsylvania, VA","Detached","2,248","5","3","","03/07/2020","03/24/20","$264,500.00","$266,000","4","4","Standard","Standard Sale","Conventional","0.00","1979","No","","","SHERATON HILLS EAST","SHERATON HILLS EAST"
"VASP219184","RES","CLS","327 Third St","22408","Spotsylvania, VA","Detached","1,400","3","2","1","05/03/2020","06/01/20","$259,000.00","$255,000","89","89","Standard","Standard Sale","FHA","0.11","2013","No","","Very Good","SYLVANIA HEIGHTS","SYLVANIA HEIGHTS"
"VASP219288","RES","CLS","15220 Spotswood Furnace Rd","22407","Spotsylvania, VA","Detached","2,016","3","2","1","04/03/2020","04/01/20","$309,900.00","$309,900","9","9","Standard","Standard Sale","VA","0.51","1983","No","","","NONE AVAILABLE","CRAIG"
